m, LED_intensity, Middle_Intensity, #_led, dm, height, D, Area_L, Area_HD, Area_FD, 90% 
2.000000e+00, 1.000000e+06, 3.472222e+09, 2, 8.944272e-01, 2.000000e-02, 1.788854e-02, 1.788854e-02, 2.707282e-02, 5.558563e-02, 2.110945e-02
2.000000e+00, 1.000000e+06, 1.833656e+09, 3, 7.746054e-01, 2.000000e-02, 1.549211e-02, 3.098421e-02, 3.903027e-02, 6.388847e-02, 2.392756e-02
2.000000e+00, 1.000000e+06, 2.247737e+09, 4, 7.160654e-01, 2.000000e-02, 1.432131e-02, 4.296392e-02, 5.048350e-02, 7.365754e-02, 3.161512e-02
2.000000e+00, 1.000000e+06, 2.299970e+09, 5, 6.477416e-01, 2.000000e-02, 1.295483e-02, 5.181933e-02, 5.867436e-02, 7.974293e-02, 3.657198e-02
2.000000e+00, 1.000000e+06, 2.825832e+09, 6, 6.254458e-01, 2.000000e-02, 1.250892e-02, 6.254458e-02, 6.922933e-02, 8.975303e-02, 4.517980e-02
2.000000e+00, 1.000000e+06, 2.611040e+09, 7, 5.763110e-01, 2.000000e-02, 1.152622e-02, 6.915732e-02, 7.535220e-02, 9.433542e-02, 4.964230e-02
2.000000e+00, 1.000000e+06, 3.296220e+09, 8, 5.688367e-01, 2.000000e-02, 1.137673e-02, 7.963714e-02, 8.581087e-02, 1.047204e-01, 5.880441e-02
2.000000e+00, 1.000000e+06, 2.831533e+09, 9, 5.292529e-01, 2.000000e-02, 1.058506e-02, 8.468047e-02, 9.044918e-02, 1.080915e-01, 6.237123e-02
2.000000e+00, 1.000000e+06, 3.701108e+09, 10, 5.293626e-01, 2.000000e-02, 1.058725e-02, 9.528527e-02, 1.011113e-01, 1.189258e-01, 7.216703e-02
2.000000e+00, 1.000000e+06, 2.993110e+09, 11, 4.953997e-01, 2.000000e-02, 9.907994e-03, 9.907994e-02, 1.045493e-01, 1.212520e-01, 7.488884e-02
2.000000e+00, 1.000000e+06, 4.060977e+09, 12, 4.998763e-01, 2.000000e-02, 9.997526e-03, 1.099728e-01, 1.155463e-01, 1.325666e-01, 8.530093e-02
2.000000e+00, 1.000000e+06, 3.113874e+09, 13, 4.695813e-01, 2.000000e-02, 9.391625e-03, 1.126995e-01, 1.179466e-01, 1.339524e-01, 8.719457e-02
2.000000e+00, 1.000000e+06, 4.387797e+09, 14, 4.767870e-01, 2.000000e-02, 9.535740e-03, 1.239646e-01, 1.293463e-01, 1.457640e-01, 9.819115e-02
2.000000e+00, 1.000000e+06, 3.203545e+09, 15, 4.490556e-01, 2.000000e-02, 8.981112e-03, 1.257356e-01, 1.308109e-01, 1.462789e-01, 9.926954e-02
2.000000e+00, 1.000000e+06, 4.689936e+09, 16, 4.580753e-01, 2.000000e-02, 9.161507e-03, 1.374226e-01, 1.426538e-01, 1.585993e-01, 1.108308e-01
2.000000e+00, 1.000000e+06, 3.268894e+09, 17, 4.322223e-01, 2.000000e-02, 8.644445e-03, 1.383111e-01, 1.432498e-01, 1.582902e-01, 1.111122e-01
2.000000e+00, 1.000000e+06, 4.972604e+09, 18, 4.425106e-01, 2.000000e-02, 8.850212e-03, 1.504536e-01, 1.555641e-01, 1.711304e-01, 1.232291e-01
2.000000e+00, 1.000000e+06, 3.316527e+09, 19, 4.181145e-01, 2.000000e-02, 8.362290e-03, 1.505212e-01, 1.553492e-01, 1.700429e-01, 1.227449e-01
2.000000e+00, 1.000000e+06, 5.238207e+09, 20, 4.292958e-01, 2.000000e-02, 8.585916e-03, 1.631324e-01, 1.681441e-01, 1.834004e-01, 1.354026e-01
2.000000e+00, 1.000000e+06, 3.350643e+09, 21, 4.060778e-01, 2.000000e-02, 8.121557e-03, 1.624311e-01, 1.671680e-01, 1.815765e-01, 1.341881e-01
2.000000e+00, 1.000000e+06, 5.488499e+09, 22, 4.178896e-01, 2.000000e-02, 8.357792e-03, 1.755136e-01, 1.804434e-01, 1.954424e-01, 1.473701e-01
2.000000e+00, 1.000000e+06, 3.370816e+09, 23, 3.956062e-01, 2.000000e-02, 7.912124e-03, 1.740667e-01, 1.787271e-01, 1.928959e-01, 1.454376e-01
2.000000e+00, 1.000000e+06, 5.729422e+09, 24, 4.079102e-01, 2.000000e-02, 8.158204e-03, 1.876387e-01, 1.924998e-01, 2.072829e-01, 1.591493e-01
2.000000e+00, 1.000000e+06, 3.382905e+09, 25, 3.864272e-01, 2.000000e-02, 7.728544e-03, 1.854851e-01, 1.900810e-01, 2.040481e-01, 1.565316e-01
